,vid,HG03453,HG01891,HG02559,HG01978,HG00673,HG00741,HG02486,HG00735,HG01258,HG01106,HG03516,HG03579,HG01123,HG03540,HG02622,HG02717,HG01928,HG01952,HG02572,HG02148,HG01358,HG02886,HG00438,HG01175,HG02630,HG00621,HG01361,HG02257
58918,58918.0,50.0,30.0,0.0,58.0,43.0,37.0,18.0,41.0,43.0,40.0,31.0,33.0,38.0,19.0,46.0,51.0,50.0,59.0,34.0,39.0,42.0,25.0,52.0,37.0,33.0,46.0,45.0,39.0
58967,58967.0,30.0,51.0,42.0,44.0,52.0,43.0,41.0,56.0,38.0,51.0,41.0,36.0,51.0,38.0,54.0,50.0,37.0,37.0,38.0,42.0,46.0,30.0,39.0,40.0,20.0,46.0,43.0,39.0
59255,59255.0,43.0,52.0,44.0,45.0,42.0,42.0,30.0,45.0,47.0,36.0,34.0,43.0,36.0,47.0,53.0,47.0,40.0,38.0,33.0,46.0,50.0,27.0,42.0,41.0,38.0,31.0,47.0,38.0
59721,59721.0,28.0,34.0,47.0,30.0,37.0,41.0,53.0,48.0,41.0,31.0,35.0,41.0,37.0,57.0,46.0,43.0,38.0,66.0,39.0,42.0,49.0,44.0,49.0,36.0,27.0,49.0,46.0,42.0
60079,60079.0,44.0,35.0,33.0,41.0,45.0,45.0,46.0,57.0,42.0,51.0,41.0,50.0,44.0,49.0,49.0,40.0,36.0,44.0,52.0,46.0,40.0,38.0,45.0,43.0,47.0,42.0,53.0,30.0
60173,60173.0,36.0,33.0,47.0,39.0,39.0,38.0,37.0,46.0,25.0,47.0,41.0,39.0,46.0,39.0,37.0,55.0,29.0,53.0,52.0,42.0,46.0,35.0,35.0,44.0,30.0,39.0,36.0,33.0
60181,60181.0,68.0,38.0,43.0,39.0,34.0,49.0,47.0,45.0,34.0,42.0,31.0,38.0,57.0,52.0,50.0,54.0,46.0,58.0,50.0,31.0,41.0,31.0,50.0,42.0,38.0,46.0,48.0,44.0
60198,60198.0,41.0,26.0,48.0,34.0,34.0,24.0,46.0,37.0,36.0,38.0,35.0,50.0,31.0,41.0,40.0,42.0,30.0,43.0,42.0,30.0,34.0,27.0,41.0,28.0,41.0,42.0,27.0,28.0
60217,60217.0,43.0,44.0,47.0,25.0,42.0,43.0,45.0,47.0,33.0,29.0,46.0,44.0,42.0,61.0,48.0,48.0,34.0,43.0,36.0,43.0,45.0,42.0,28.0,37.0,37.0,36.0,40.0,36.0
60293,60293.0,46.0,40.0,41.0,34.0,48.0,25.0,49.0,38.0,28.0,35.0,38.0,47.0,38.0,59.0,51.0,39.0,26.0,33.0,14.0,36.0,29.0,43.0,40.0,30.0,52.0,43.0,47.0,34.0
